Timestamp;power_now;chassis_power
49839;5.993035E+000;4.813461E+000
49877;5.993103E+000;4.816088E+000
49914;5.993089E+000;4.784650E+000
49946;5.993266E+000;4.747470E+000
49977;5.994648E+000;4.771567E+000
50010;5.999556E+000;4.858136E+000
50046;5.993188E+000;4.809903E+000
50085;5.992963E+000;4.806848E+000
50118;5.994836E+000;4.818112E+000
50147;5.993081E+000;4.808062E+000
50177;5.993150E+000;4.763227E+000
50210;5.993051E+000;4.862629E+000
50242;5.992990E+000;4.840218E+000
50276;5.994367E+000;4.858262E+000
50315;5.993636E+000;4.884935E+000
50347;5.994034E+000;4.814330E+000
50377;5.998286E+000;4.849081E+000
50418;5.993073E+000;4.841967E+000
50447;5.993571E+000;4.785307E+000
50476;5.998199E+000;4.789905E+000
50507;5.995395E+000;4.800241E+000
50535;5.992700E+000;4.844921E+000
50564;5.994027E+000;4.838720E+000
50593;5.993620E+000;4.800243E+000
50625;5.993391E+000;4.855556E+000
50982;5.993383E+000;4.849623E+000
51330;5.994624E+000;4.901822E+000
51360;5.993607E+000;4.833796E+000
51393;5.997174E+000;4.811197E+000
51613;5.996075E+000;4.838969E+000
51726;5.996075E+000;4.838969E+000
51770;5.996075E+000;4.838969E+000
51799;5.996075E+000;4.838969E+000
51831;5.996075E+000;4.838969E+000
51863;5.996075E+000;4.838969E+000
51895;5.996075E+000;4.838969E+000
51927;5.996075E+000;4.838969E+000
51959;5.996075E+000;4.838969E+000
51992;5.996075E+000;4.838969E+000
52022;5.996075E+000;4.838969E+000
52054;5.996075E+000;4.838969E+000
52086;5.996075E+000;4.838969E+000
52117;5.996075E+000;4.838969E+000
52148;5.996075E+000;4.838969E+000
52179;5.996075E+000;4.838969E+000
52210;5.996075E+000;4.838969E+000
52243;5.996075E+000;4.838969E+000
52272;5.996075E+000;4.838969E+000
52304;5.996075E+000;4.838969E+000
52334;5.996075E+000;4.838969E+000
52365;5.996075E+000;4.838969E+000
52397;5.996075E+000;4.838969E+000
52429;5.996075E+000;4.838969E+000
52459;5.996075E+000;4.838969E+000
52492;5.996075E+000;4.838969E+000
52523;5.996075E+000;4.838969E+000
52553;5.996075E+000;4.838969E+000
52585;5.996075E+000;4.838969E+000
52617;5.996075E+000;4.838969E+000
52649;5.996075E+000;4.838969E+000
52679;5.996075E+000;4.838969E+000
52726;5.996075E+000;4.838969E+000
52758;5.996075E+000;4.838969E+000
52789;5.996075E+000;4.838969E+000
52819;5.996075E+000;4.838969E+000
52850;5.996075E+000;4.838969E+000
52882;5.996075E+000;4.838969E+000
52914;5.996075E+000;4.838969E+000
52944;5.996075E+000;4.838969E+000
52975;5.996075E+000;4.838969E+000
53008;5.996075E+000;4.838969E+000
53039;5.996075E+000;4.838969E+000
53069;5.996075E+000;4.838969E+000
53100;5.996075E+000;4.838969E+000
53132;5.996075E+000;4.838969E+000
53164;5.996075E+000;4.838969E+000
53201;5.996075E+000;4.838969E+000
53244;5.996075E+000;4.838969E+000
53274;5.996075E+000;4.838969E+000
53306;5.996075E+000;4.838969E+000
53338;5.996075E+000;4.838969E+000
53370;5.996075E+000;4.838969E+000
53401;5.996075E+000;4.838969E+000
53432;5.996075E+000;4.838969E+000
53464;5.996075E+000;4.838969E+000
53496;5.996075E+000;4.838969E+000
53527;5.996075E+000;4.838969E+000
53574;5.996075E+000;4.838969E+000
53606;5.996075E+000;4.838969E+000
53637;5.996075E+000;4.838969E+000
53668;5.996075E+000;4.838969E+000
53716;5.996075E+000;4.838969E+000
53748;5.996075E+000;4.838969E+000
53780;5.996075E+000;4.838969E+000
53812;5.996075E+000;4.838969E+000
53844;5.996075E+000;4.838969E+000
53875;5.996075E+000;4.838969E+000
53921;5.996075E+000;4.838969E+000
53952;5.996075E+000;4.838969E+000
53983;5.996075E+000;4.838969E+000
54015;5.996075E+000;4.838969E+000
54047;5.996075E+000;4.838969E+000
54094;5.996075E+000;4.838969E+000
54126;5.996075E+000;4.838969E+000
54158;5.996075E+000;4.838969E+000
54190;5.996075E+000;4.838969E+000
54237;5.996075E+000;4.838969E+000
54268;5.996075E+000;4.838969E+000
54299;5.996075E+000;4.838969E+000
54330;5.996075E+000;4.838969E+000
54360;5.996075E+000;4.838969E+000
54390;5.996075E+000;4.838969E+000
54422;5.996075E+000;4.838969E+000
54454;5.996075E+000;4.838969E+000
54486;5.996075E+000;4.838969E+000
54518;5.996075E+000;4.838969E+000
54550;5.996075E+000;4.838969E+000
54582;5.996075E+000;4.838969E+000
54614;5.996075E+000;4.838969E+000
54646;5.996075E+000;4.838969E+000
54677;5.996075E+000;4.838969E+000
54708;5.996075E+000;4.838969E+000
54740;5.996075E+000;4.838969E+000
54772;5.996075E+000;4.838969E+000
54865;0.000000E+000;0.000000E+000
54921;0.000000E+000;0.000000E+000
54950;0.000000E+000;0.000000E+000
54979;0.000000E+000;0.000000E+000
55010;0.000000E+000;0.000000E+000
55046;0.000000E+000;0.000000E+000
55080;0.000000E+000;0.000000E+000
55113;0.000000E+000;0.000000E+000
55147;4.116299E+000;0.000000E+000
55179;5.934892E+000;4.833936E+000
55213;5.991352E+000;4.767494E+000
55247;5.994109E+000;4.827393E+000
55284;5.993266E+000;4.865905E+000
55310;5.993415E+000;4.862423E+000
55335;5.994053E+000;4.839509E+000
55363;5.993492E+000;4.816070E+000
55392;5.993481E+000;4.882396E+000
55421;5.993717E+000;4.791953E+000
55447;5.995175E+000;4.815273E+000
55483;5.999515E+000;4.889309E+000
55518;5.993727E+000;4.806097E+000
55546;5.993386E+000;4.850714E+000
55579;5.993692E+000;4.896814E+000
55613;5.994569E+000;4.799772E+000
55650;5.993660E+000;4.822343E+000
55683;5.993688E+000;4.851056E+000
55713;5.993297E+000;4.780991E+000
55750;5.993309E+000;4.844105E+000
55780;5.994885E+000;4.829039E+000
55813;5.993204E+000;4.827396E+000
55838;5.993511E+000;4.765859E+000
55867;5.992602E+000;4.779304E+000
55893;5.995954E+000;4.819860E+000
55922;5.992876E+000;4.856705E+000
55951;5.992774E+000;4.819747E+000
55984;5.993429E+000;4.817064E+000
56017;5.993639E+000;4.744501E+000
56051;5.996273E+000;4.796731E+000
56076;5.993850E+000;4.798337E+000
56105;5.992895E+000;4.838041E+000
56134;5.993696E+000;4.851722E+000
56163;5.994232E+000;4.846194E+000
56189;5.993678E+000;4.828213E+000
56217;5.993490E+000;4.827438E+000
56247;5.993264E+000;4.888559E+000
56279;5.992960E+000;4.809107E+000
56306;5.994956E+000;4.904989E+000
56334;5.993805E+000;4.821148E+000
56363;5.994054E+000;4.792133E+000
56389;5.994395E+000;4.824166E+000
56421;5.993490E+000;4.826766E+000
56451;5.992905E+000;4.840240E+000
56479;5.992977E+000;4.836522E+000
56509;5.993140E+000;4.835016E+000
56538;5.993097E+000;4.791461E+000
56575;5.993611E+000;4.786175E+000
56608;5.994643E+000;4.871360E+000
56638;5.992596E+000;4.757082E+000
56675;5.993151E+000;4.839945E+000
56704;5.993789E+000;4.848902E+000
56741;5.993421E+000;4.887717E+000
56771;5.993353E+000;4.872214E+000
56801;5.995642E+000;4.850578E+000
56842;5.993131E+000;4.805800E+000
56871;5.994665E+000;4.851723E+000
56904;5.993608E+000;4.835733E+000
56935;5.994139E+000;4.833868E+000
56963;5.992943E+000;4.788222E+000
56992;5.994303E+000;4.811257E+000
57021;5.993292E+000;4.855731E+000
57046;5.993976E+000;4.798666E+000
57075;5.994421E+000;4.825550E+000
57105;5.993512E+000;4.863189E+000
57131;5.993287E+000;4.815225E+000
57158;5.993258E+000;4.884728E+000
57184;5.993739E+000;4.865190E+000
57213;5.993723E+000;4.819558E+000
57246;5.992733E+000;4.831522E+000
57283;5.993443E+000;4.842642E+000
57317;5.993295E+000;4.801326E+000
57346;5.993701E+000;4.801326E+000
57380;5.993539E+000;4.829266E+000
57413;5.993074E+000;4.827918E+000
57442;5.994336E+000;4.793452E+000
57476;5.994972E+000;4.822028E+000
57516;5.993821E+000;4.813206E+000
57542;5.998220E+000;4.829422E+000
57571;5.994439E+000;4.870621E+000
57596;5.993721E+000;4.882317E+000
57625;5.992960E+000;4.787949E+000
